авангард1|"передовая часть"|vanguard/avant-guarde
высокий2|"высокопоставленный/возвышенный"|high-rank/sublime
выставление1|напр.картины|exposition
выставление2|счета/отметок|issuing
выставление3|наружу|exhibiting/putting out
выстрел1|напр.из ружья|shot
выстрел2|"боеприпас"|ammunition unit
выстрелы1|напр.из ружья|shots
выстрелы2|"боеприпасы"|ammunition units
выстроить1|"возвести"|to build
выстроить2|"построить в ряд"|to draw up
выступать1|на соревнованиях/с трибуны|to appear
выступать2|"выпирать/проступать/распространяться"|to tread/spread/project
выступить1|на соревнованиях/с трибуны |to appear
выступить2|"проступить/распространиться"|to tread/spread/project
выступление1|"доклад"|appearance/speech
выступление2|"движение"|action
выступление3|артиста/спортсмена|performance
выступления1|"доклады"|appearances/speeches
выступления2|"движения"|actions
выступления3|артиста/спортсмена|performances
высылать1|"рассылать"|to dispatch/send
высылать2|"депортировать"|to exile
высылка1|"рассылка"|dispatching
высылка2|"депортация"|deportation
высыпать1|"вЫсыпавть"|to pour out/empty (perf)
высыпать2|"высыпАть"|to pour out/empty (imper)
высыпаться1|"вЫсыпаться"|to be scattered/spill out (perf)
высыпаться2|"высыпАться"|to be scattered/spill out (imper)
высыпаться3|"отсыпаться"|to have a good sleep
вытопить1|"протопить"|to heal
вытопить2|напр.масло|to melt
вытравить1|"уничтожить"|to destroy
вытравить2|"выманить/вытащить"|to trample down/slacken
вытравить3|"выгравировать"|to etch
вытравлять1|"уничтожать"|to destroy
вытравлять2|"выманивать/вытаскивать"|to trample down/slacken
вытравлять3|"гравировать"|to etch
выход1|напр.у приемника|output/outlet
выход2|напр.у здания|way out/exit
выход3|напр.из положения|going out/appearance
выходить1|из дома/в свет|to go/come out
выходить2|напр.на север|to look out
выходить3|больного|to bring up
выходить4|"удаваться/кончаться"|to turn out/be expired
выходной1|"нерабочий"|off/outside
выходной2|связанный с выходом|exit
вычитать1|"отнимать"|to substract
вычитать2|"удерживать"|to deduct/keep back
